Modified Date: 2022-06-03 23:33 UTC,,,,,,,,,,,,,,,,,,
disclaimer_EN,,,,,,,,,,,,,,,,,,
Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
DRURY CREEK,YUKON TERRITORY,2100460,1542,,,62.2,-134.39,621207000,-1342324000,609,1970,2009,,,1970,2009,1970,2007
EAGLE PLAINS,YUKON TERRITORY,2100468,1543,,,66.37,-136.72,662210005,-1364303580,620,1979,2008,,,1979,2008,1979,2007
EAGLE RIVER,YUKON TERRITORY,2100470,1544,,,66.45,-136.72,662700000,-1364300000,324.6,1971,1977,,,1971,1977,1971,1977
ELSA,YUKON TERRITORY,2100500,1545,,,63.92,-135.48,635500000,-1352900000,813.8,1948,1989,,,1948,1989,1948,1989
FARO,YUKON TERRITORY,2100515,1546,,,62.35,-133.4,622100000,-1332400000,1074.4,1966,1968,,,1966,1968,1966,1968
FARO,YUKON TERRITORY,2100516,1547,,,62.23,-133.35,621400000,-1332100000,694.3,1971,1977,1972,1977,1971,1977,1971,1977
FARO (AUT),YUKON TERRITORY,2100518,8964,71949,WUM,62.21,-133.38,621227000,-1332233000,716.6,1992,2022,1994,2022,1992,2022,2002,2007
FARO A,YUKON TERRITORY,2100517,1548,,ZFA,62.21,-133.37,621225000,-1332224000,716.3,1977,2015,1987,2013,1977,2015,1978,2007
FARO A,YUKON TERRITORY,2100519,51887,,ZFA,62.21,-133.37,621225000,-1332224000,716.3,2013,2022,2013,2022,,,,
FARO A,YUKON TERRITORY,2100527,53025,,ZFA,62.21,-133.37,621225000,-1332224000,716.3,2014,2022,2014,2022,2018,2022,,
FISH LAKE ROAD,YUKON TERRITORY,2100535,1549,,,60.72,-135.2,604300000,-1351200000,975,1988,1990,,,1988,1990,1988,1990
FORTY MILE,YUKON TERRITORY,2100605,1551,,,64.38,-140.6,642300000,-1403600000,335.3,1978,1984,,,1978,1984,1978,1984
FRANCES LAKE,YUKON TERRITORY,2100611,1552,,,61.33,-129.33,612000000,-1292000000,780.3,1976,1978,,,1976,1978,1976,1978
GOLDEN HORN,YUKON TERRITORY,2100615,1553,,,60.62,-134.82,603700000,-1344900000,701,1989,1994,,,1989,1994,1989,1994
HAECKEL HILL TOWER,YUKON TERRITORY,2100620,1554,,,60.75,-135.22,604500000,-1351300000,1432.6,1974,1976,,,1974,1976,1976,1976
HAINES APPS #4,YUKON TERRITORY,2100627,1555,,,60.82,-137.73,604900000,-1374400000,845.8,1969,1971,,,1969,1971,1970,1971
HAINES JUNCTION,YUKON TERRITORY,2100630,1556,71505,WHT,60.77,-137.58,604621008,-1373449004,595.3,1944,2022,1960,2022,1944,2022,1944,2006
HAINES JUNCTION YTG,YUKON TERRITORY,2100631,1557,,,60.75,-137.51,604458360,-1373018900,596,1985,2008,,,1985,2008,1985,2007
